Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawLeft,JawRight,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthLeft,MouthRight,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:00,61,1.0,0.0348,0.03516,0.01735,0.06384,0.207,0.1099,1.0,0.03458,0.08124,0.004333,0.064,0.208,0.1094,0.04752,0.01249,0.005096,0.02913,0.02646,0.08307,0.05515,0.00602,0.006676,0.03006,0.03528,0.06158,0.0529,0.1076,0.10895,0.0926,0.08496,0.0913,0.05563,0.1622,0.01,0.05566,0.0614,0.05817,0.05933,0.03745,0.03595,0.2168,0.2175,0.05655,0.01491,0.01482,0.05295,0.06033,0.0563,0.0803,0.0768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:02,61,0.01,0.03586,0.045,0.01675,0.07214,0.1991,0.10986,0.01,0.0357,0.07385,0.00716,0.07227,0.1998,0.10925,0.05496,0.010124,0.00831,0.03537,0.03198,0.0909,0.06464,0.00923,0.006847,0.0418,0.0507,0.05527,0.04776,0.0915,0.09375,0.1026,0.09607,0.0868,0.06616,0.1293,0.01,0.04593,0.0511,0.0804,0.0791,0.04086,0.04163,0.2341,0.2355,0.05392,0.00813,0.00818,0.0437,0.04916,0.04837,0.0767,0.07556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:04,61,0.01,0.03217,0.04907,0.01472,0.0797,0.2031,0.1267,0.01,0.032,0.07275,0.01227,0.07996,0.2037,0.126,0.05612,0.009926,0.00818,0.03372,0.02971,0.0886,0.06174,0.00781,0.005962,0.03375,0.0421,0.05026,0.0428,0.10034,0.1021,0.10114,0.0949,0.09344,0.06696,0.1412,0.01,0.0502,0.0555,0.073,0.0723,0.03867,0.039,0.2291,0.2301,0.0529,0.01007,0.01002,0.04623,0.05057,0.04926,0.0741,0.07166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:06,61,0.01,0.0337,0.04895,0.015114,0.07764,0.2024,0.12305,0.01,0.03354,0.07324,0.012146,0.0779,0.2031,0.1223,0.05585,0.009995,0.00805,0.03348,0.02956,0.0882,0.06158,0.00793,0.006046,0.03513,0.04358,0.04977,0.04236,0.09985,0.1017,0.1011,0.0949,0.0927,0.06604,0.1407,0.01,0.0501,0.05545,0.07336,0.07275,0.0393,0.03973,0.2285,0.2296,0.05344,0.01022,0.01018,0.0459,0.05118,0.05014,0.0752,0.0729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:08,61,0.01,0.03427,0.0491,0.015114,0.0764,0.201,0.12177,0.01,0.03415,0.0733,0.01231,0.07666,0.2017,0.12103,0.05557,0.00996,0.008,0.0334,0.02965,0.08826,0.0619,0.00801,0.006016,0.0354,0.0438,0.04947,0.04214,0.09973,0.10156,0.1009,0.0947,0.0923,0.0658,0.1406,0.01,0.05,0.05533,0.07324,0.07275,0.0393,0.03973,0.2272,0.2281,0.0535,0.0104,0.01035,0.04587,0.05118,0.0502,0.0752,0.0729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:10,61,0.01,0.0349,0.04916,0.0151,0.0748,0.1992,0.1203,0.01,0.0348,0.07336,0.01238,0.075,0.1998,0.11957,0.05518,0.009964,0.00794,0.03333,0.02979,0.0884,0.06216,0.00805,0.005974,0.03583,0.04416,0.04898,0.04172,0.09955,0.1013,0.10065,0.0945,0.09174,0.06537,0.1404,0.01,0.04987,0.05518,0.0733,0.0729,0.03937,0.0398,0.2252,0.2263,0.0535,0.01054,0.0105,0.04578,0.05124,0.05023,0.07513,0.0727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:12,61,0.01,0.03558,0.04922,0.01509,0.0733,0.1975,0.1188,0.01,0.03543,0.0733,0.012375,0.0735,0.1981,0.11804,0.0548,0.009995,0.00789,0.0333,0.02988,0.08844,0.06244,0.0081,0.005955,0.03622,0.04453,0.04843,0.0412,0.09937,0.10114,0.10046,0.09424,0.0911,0.06494,0.1401,0.01,0.04977,0.05508,0.0734,0.073,0.0394,0.03983,0.2238,0.2249,0.05356,0.01059,0.01055,0.04565,0.0512,0.0502,0.0751,0.0726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:14,61,0.01,0.03616,0.04922,0.015114,0.0721,0.1962,0.1174,0.01,0.036,0.0733,0.01229,0.07227,0.1968,0.11664,0.05447,0.010025,0.00786,0.03333,0.02994,0.0885,0.0627,0.00814,0.00596,0.03668,0.04495,0.04776,0.0406,0.0991,0.1009,0.1003,0.0941,0.0906,0.0645,0.1399,0.01,0.04968,0.055,0.0736,0.0732,0.0394,0.03983,0.2228,0.2238,0.05365,0.010574,0.01054,0.04553,0.0512,0.0502,0.075,0.0726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:16,61,0.01,0.0368,0.04932,0.015144,0.07104,0.195,0.11597,0.01,0.03665,0.0732,0.01223,0.0713,0.1956,0.11523,0.05417,0.01004,0.00786,0.03336,0.02997,0.0886,0.0629,0.00819,0.00598,0.03717,0.0454,0.0469,0.03976,0.0989,0.10065,0.1002,0.09406,0.08997,0.06415,0.1394,0.01,0.0496,0.05484,0.074,0.07355,0.03946,0.03992,0.222,0.2231,0.0538,0.0105,0.01047,0.04535,0.0512,0.05023,0.07513,0.0727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:18,61,0.01,0.03745,0.0495,0.015274,0.0705,0.1936,0.11444,0.01,0.0373,0.07294,0.01209,0.0707,0.1942,0.1138,0.05392,0.00993,0.00794,0.0334,0.03001,0.08887,0.06323,0.00832,0.00605,0.038,0.0461,0.0455,0.0384,0.0986,0.10034,0.10016,0.09406,0.089,0.06384,0.1383,0.01,0.0493,0.05453,0.0745,0.07404,0.0395,0.03995,0.2219,0.223,0.05408,0.01027,0.01024,0.045,0.05112,0.05014,0.07526,0.0729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
